OpenAlex filter: 2446 partition(s) under /home/alex/discovery_hub/data/openalex_snapshot/works
  keep concepts=['C71924100', 'C86803240'] domains=['Health Sciences', 'Life Sciences'] min_score=0.3 require_abstract=True max=none
  [1707/2446] scanned=300,140,951 kept=45,525,942 (19,090/s)
  [1714/2446] scanned=302,099,093 kept=45,738,976 (19,106/s)
  [1721/2446] scanned=304,054,629 kept=45,952,111 (19,122/s)
  [1728/2446] scanned=306,015,352 kept=46,165,607 (19,137/s)
  [1736/2446] scanned=308,252,313 kept=46,409,485 (19,154/s)
  [1743/2446] scanned=310,210,254 kept=46,622,563 (19,170/s)
  [1750/2446] scanned=312,167,904 kept=46,835,723 (19,185/s)
  [1757/2446] scanned=314,125,400 kept=47,049,013 (19,200/s)
  [1764/2446] scanned=316,085,024 kept=47,262,134 (19,215/s)
  [1771/2446] scanned=318,043,968 kept=47,475,538 (19,229/s)
  [1778/2446] scanned=320,002,997 kept=47,688,201 (19,244/s)
  [1786/2446] scanned=322,244,338 kept=47,932,328 (19,260/s)
  [1793/2446] scanned=324,202,080 kept=48,146,238 (19,275/s)
  [1800/2446] scanned=326,158,822 kept=48,359,483 (19,288/s)
  [1807/2446] scanned=328,121,857 kept=48,576,617 (19,303/s)
  [1814/2446] scanned=330,111,187 kept=48,812,511 (19,319/s)
  [1821/2446] scanned=332,101,692 kept=49,048,011 (19,336/s)
  [1828/2446] scanned=334,093,796 kept=49,284,511 (19,352/s)
  [1835/2446] scanned=336,085,101 kept=49,519,713 (19,369/s)
  [1842/2446] scanned=338,076,399 kept=49,755,995 (19,385/s)
  [1849/2446] scanned=340,067,463 kept=49,991,055 (19,401/s)
  [1856/2446] scanned=342,058,918 kept=50,227,173 (19,417/s)
  [1863/2446] scanned=344,289,728 kept=51,507,167 (19,317/s)
  [1869/2446] scanned=346,205,858 kept=52,607,124 (19,233/s)
  [1875/2446] scanned=348,120,119 kept=53,704,328 (19,152/s)
  [1881/2446] scanned=350,036,222 kept=54,802,501 (19,071/s)
  [1893/2446] scanned=352,304,755 kept=55,293,368 (19,076/s)
  [1898/2446] scanned=354,012,988 kept=55,836,158 (19,061/s)
  [1905/2446] scanned=356,078,941 kept=56,183,666 (19,071/s)
  [1917/2446] scanned=358,045,835 kept=56,557,939 (19,057/s)
  [1925/2446] scanned=360,207,699 kept=57,071,481 (19,017/s)
  [1931/2446] scanned=362,110,805 kept=57,361,410 (19,009/s)
  [1937/2446] scanned=364,096,448 kept=57,764,894 (18,981/s)
  [1945/2446] scanned=366,352,275 kept=58,404,300 (18,930/s)
  [1951/2446] scanned=368,156,795 kept=58,771,776 (18,930/s)
  [1958/2446] scanned=370,026,105 kept=59,098,759 (18,929/s)
  [1966/2446] scanned=372,162,917 kept=59,471,706 (18,929/s)
  [1973/2446] scanned=374,033,496 kept=59,799,605 (18,929/s)
  [1983/2446] scanned=376,035,647 kept=60,169,126 (18,910/s)
  [1992/2446] scanned=378,113,053 kept=60,623,419 (18,854/s)
  [1999/2446] scanned=380,090,602 kept=61,002,840 (18,816/s)
  [2008/2446] scanned=382,027,142 kept=61,102,974 (18,856/s)
  [2017/2446] scanned=384,085,962 kept=61,165,674 (18,909/s)
  [2024/2446] scanned=386,007,047 kept=61,302,869 (18,938/s)
  [2031/2446] scanned=388,108,032 kept=61,391,395 (18,992/s)
  [2044/2446] scanned=390,063,828 kept=61,607,688 (19,011/s)
  [2055/2446] scanned=392,042,819 kept=62,214,531 (18,962/s)
  [2064/2446] scanned=394,131,815 kept=62,503,955 (18,966/s)
  [2071/2446] scanned=396,115,182 kept=63,074,916 (18,933/s)
  [2084/2446] scanned=398,057,929 kept=63,610,883 (18,883/s)
  [2092/2446] scanned=400,059,262 kept=64,415,457 (18,758/s)
  [2099/2446] scanned=402,363,111
